t,transactions_transfers_volume_miners_net
2012-03-15,13636.079663012088
2012-03-16,-2430.2058081770792
2012-03-17,2243.2082992778714
2012-03-18,745.344259204101
2012-03-19,-414.58088941981987
2012-03-20,2226.0737607335814
2012-03-21,309.8925865331712
2012-03-22,-1510.8176598128812
2012-03-23,1346.03594739848
2012-03-24,2558.7302449256804
2012-03-25,40436.83711320344
2012-03-26,30.00617299847181
2012-03-27,1625.9600418747905
2012-03-28,-491.29414045021986
2012-03-29,1049.78481250196
2012-03-30,1925.2912959734604
2012-03-31,1972.6528796077455
2012-04-01,-1864.7443649554998
2012-04-02,9546.683995586289
2012-04-03,-2596.60926082444
2012-04-04,-1.0349497372299084
2012-04-05,8924.47116774242
2012-04-06,28104.545083836674
2012-04-07,1850.8359743343299
2012-04-08,1456.8397677163102
2012-04-09,574.8494210508907
2012-04-10,-425.31869080672004
2012-04-11,-883.2766000006795
2012-04-12,-1915.7509112165299
2012-04-13,914.2929259548209
2012-04-14,10.262996019399907
2012-04-15,8270.160775942919
2012-04-16,1558.7485548840577
2012-04-17,21634.517042143223
2012-04-18,252.21873978888016
2012-04-19,-650.1775265387405
2012-04-20,-372.1313512771194
2012-04-21,1015.0971259931293
2012-04-22,-876.8141719199893
2012-04-23,-239.61193617000936
2012-04-24,-1637.5324427960004
2012-04-25,2579.59032549319
2012-04-26,11515.23545170939
2012-04-27,-203.7687947669583
2012-04-28,1212.6947330019793
2012-04-29,3298.768931522216
2012-04-30,1318.84250850251
2012-05-01,-12416.65495985119
2012-05-02,-436.9911189412396
2012-05-03,234.8835952735608
2012-05-04,-2840.1673746790802
2012-05-05,2755.7058346736903
2012-05-06,-5716.4732646925
2012-05-07,4802.3173160940005
2012-05-08,4939.272848175049
2012-05-09,12687.649049068712
2012-05-10,5617.390948814131
2012-05-11,9637.32560248001
2012-05-12,3699.8439803199108
2012-05-13,-2539.0950589855993
2012-05-14,1782.8658939223278
2012-05-15,8985.799423932498
2012-05-16,10889.542542921417
2012-05-17,3287.351594548869
2012-05-18,8331.93936016093
2012-05-19,3001.5993276568697
2012-05-20,-737.4994500333996
2012-05-21,3509.801851551798
2012-05-22,16642.823710603494
2012-05-23,4107.123322518259
2012-05-24,11085.376875384762
2012-05-25,4053.2877006110502
2012-05-26,2871.9318205547097
2012-05-27,552.9160433572306
2012-05-28,-1274.1957748371005
2012-05-29,3838.0331244826793
2012-05-30,5821.136934584681
2012-05-31,1359.8537367300896
2012-06-01,3470.6842843304294
2012-06-02,385.316886701341
2012-06-03,1263.4540658435017
2012-06-04,-19177.50627635031
2012-06-05,773.151958970102
2012-06-06,6371.556974948149
2012-06-07,1640.2849329925994
2012-06-08,3874.31538580529
2012-06-09,9447.5903607557
2012-06-10,2831.0334843864985
2012-06-11,3600.3796472959984
2012-06-12,705.76776100809
2012-06-13,-1333.8027517950995
2012-06-14,2000.0243602784485
2012-06-15,-2693.1996587459944
2012-06-16,3844.997539927741
2012-06-17,367.8953456281997
2012-06-18,144.03195621219857
2012-06-19,-739.1986115704021
2012-06-20,7399.217725076
2012-06-21,4620.107524589339
2012-06-22,950.7709067545202
2012-06-23,3246.1070572752315
2012-06-24,-9190.5431984619
2012-06-25,1257.0325829566482
2012-06-26,203.3428741234602
2012-06-27,16575.04203105571
2012-06-28,6033.850031589401
2012-06-29,328.7933381587891
2012-06-30,697.1589564698497
2012-07-01,992.8558124810706
2012-07-02,-3301.2729014390006
2012-07-03,1823.2995388467107
2012-07-04,17155.523310940058
2012-07-05,-977.7438156778007
2012-07-06,9322.108399040902
2012-07-07,2905.6019831435115
2012-07-08,2042.6448038683802
2012-07-09,27.684171642109504
2012-07-10,8605.827437856091
2012-07-11,4786.09118278646
2012-07-12,6759.639476048957
2012-07-13,-1991.5813002368013
2012-07-14,1943.9754090470196
2012-07-15,32.65217250390015
2012-07-16,-16.88406573930115
2012-07-17,-72733.81532488271
2012-07-18,-1158.121057769211
2012-07-19,746.8979435197998
2012-07-20,4028.5702022482783
2012-07-21,-1230.7088862402998
2012-07-22,903.3903144517717
2012-07-23,-4606.620666453171
