t,transactions_transfers_volume_entity_adjusted_sum
2012-04-09,467505.00370381
2012-04-10,351717.015609
2012-04-11,359357.44698013
2012-04-12,360314.02843014
2012-04-13,378160.41828603
2012-04-14,248272.94494625
2012-04-15,212773.21903412
2012-04-16,338073.89458683
2012-04-17,263596.3606896
2012-04-18,298581.50353197
2012-04-19,302863.29033696
2012-04-20,347015.0579523
2012-04-21,207003.52122198
2012-04-22,202602.82528449
2012-04-23,242108.40934164
2012-04-24,290123.63575132
2012-04-25,401733.14623674
2012-04-26,324101.83069079
2012-04-27,241261.15924226
2012-04-28,196891.89485801
2012-04-29,204150.08988244
2012-04-30,204222.60012355
2012-05-01,261068.8693475
2012-05-02,293819.62861881
2012-05-03,242510.55804943
2012-05-04,359648.386757
2012-05-05,193441.35874515
2012-05-06,272395.02058471
2012-05-07,257170.39686209
2012-05-08,346603.11208155
2012-05-09,388083.8240698
2012-05-10,340184.11540365
2012-05-11,340915.96472028
2012-05-12,251582.98382083
2012-05-13,183229.5118289
2012-05-14,380965.86015462
2012-05-15,317455.70628859
2012-05-16,321826.35316931
2012-05-17,279911.4373547
2012-05-18,329323.55285179
2012-05-19,309312.87020705
2012-05-20,255458.01006674
2012-05-21,344293.1552303
2012-05-22,406068.04855162
2012-05-23,321413.00818649
2012-05-24,239978.65870784
2012-05-25,276616.57223572
2012-05-26,226937.84716361
2012-05-27,226713.50977975
2012-05-28,264407.49880336
2012-05-29,340262.35260526
2012-05-30,311919.76338211
2012-05-31,668471.69182269
2012-06-01,750112.95664437
2012-06-02,214896.28105216
2012-06-03,203122.39861752
2012-06-04,444425.75089876
2012-06-05,347608.83816564
2012-06-06,348204.30730031
2012-06-07,367512.51898835
2012-06-08,407430.16006159
2012-06-09,331829.30152836
2012-06-10,233731.76210421
2012-06-11,404919.83607482
2012-06-12,392948.48007916
2012-06-13,375025.46131794
2012-06-14,313378.67524625
2012-06-15,404556.24288186
2012-06-16,367234.25771889
2012-06-17,283032.08203494
2012-06-18,322551.71856322
2012-06-19,361644.56815359
2012-06-20,435956.19817816
2012-06-21,319654.44492277
2012-06-22,368752.61982172
2012-06-23,253357.20771873
2012-06-24,416929.68483377
2012-06-25,392503.3447042
2012-06-26,545541.74322082
2012-06-27,408692.21862767
2012-06-28,380043.8460256
2012-06-29,292862.42507359
2012-06-30,196653.92447184
2012-07-01,185566.02692046
2012-07-02,378181.70341643
2012-07-03,459489.72987579
2012-07-04,357406.4580691
2012-07-05,356297.89829155
2012-07-06,324316.88759961
2012-07-07,253126.48898237
2012-07-08,231757.73690213
2012-07-09,383385.92938958
2012-07-10,468474.12869594
2012-07-11,368476.48926899
2012-07-12,412672.60060257
2012-07-13,465404.91565335
2012-07-14,349154.48876509
2012-07-15,244286.98058921
2012-07-16,402560.79370409
2012-07-17,567498.30532434
2012-07-18,429678.81631507
2012-07-19,302477.27048513
2012-07-20,334377.6751067
2012-07-21,381271.65750416
2012-07-22,301446.2778045
2012-07-23,399275.92777556
2012-07-24,363055.18535683
2012-07-25,350894.26382945
2012-07-26,273909.18387794
2012-07-27,301080.98171478
2012-07-28,324393.69165099
2012-07-29,240454.44470326
2012-07-30,322536.96314402
2012-07-31,838808.77829043
2012-08-01,456060.91543358
2012-08-02,544538.79167145
2012-08-03,388493.20025058
2012-08-04,330902.71976697
2012-08-05,355541.91385362
2012-08-06,412102.55009676
2012-08-07,350249.55675394
2012-08-08,422017.81935151
2012-08-09,460958.92322485
2012-08-10,353185.02012152
2012-08-11,349731.29692306
2012-08-12,285610.68083392
2012-08-13,502418.11631559
2012-08-14,408067.93456936
2012-08-15,327840.62625791
