t,indicators_mvrv_account_based
2012-11-21,1.682979273802
2012-11-22,1.72378650515632
2012-11-23,1.75151407937609
2012-11-24,1.76154782780968
2012-11-25,1.77302361641143
2012-11-26,1.76979541751248
2012-11-27,1.72180614960751
2012-11-28,1.73789230782866
2012-11-29,1.74770687127458
2012-11-30,1.76745244657251
2012-12-01,1.76593971735586
2012-12-02,1.76134830395191
2012-12-03,1.76333740435917
2012-12-04,1.79968557274512
2012-12-05,1.84840575513506
2012-12-06,1.86418254219678
2012-12-07,1.8493832824158
2012-12-08,1.85440456072429
2012-12-09,1.83193338807725
2012-12-10,1.83530729311291
2012-12-11,1.84710773382098
2012-12-12,1.86256624499028
2012-12-13,1.85897791215217
2012-12-14,1.857423876972
2012-12-15,1.83491600646282
2012-12-16,1.82768398618898
2012-12-17,1.79084349101944
2012-12-18,1.79032383678816
2012-12-19,1.80306182741219
2012-12-20,1.81514889592696
2012-12-21,1.81719151340138
2012-12-22,1.79968276396959
2012-12-23,1.78234042469127
2012-12-24,1.7930771598126
2012-12-25,1.78906234840003
2012-12-26,1.78628507102867
2012-12-27,1.79386610887706
2012-12-28,1.79584597067703
2012-12-29,1.80042624408016
2012-12-30,1.79365128684753
2012-12-31,1.7989946640434
2013-01-01,1.76411846648916
2013-01-02,1.75885285742303
2013-01-03,1.7583791001823
2013-01-04,1.76199435061279
2013-01-05,1.75545330331075
2013-01-06,1.74968111422857
2013-01-07,1.75400708573355
2013-01-08,1.77253870400641
2013-01-09,1.79420588024995
2013-01-10,1.82295544955139
2013-01-11,1.84723855636161
2013-01-12,1.84947699373471
2013-01-13,1.83479897107646
2013-01-14,1.82554332666834
2013-01-15,1.86289137121528
2013-01-16,1.89162087538623
2013-01-17,1.95102667641483
2013-01-18,2.01723844973503
2013-01-19,2.00053141381179
2013-01-20,2.01045754335553
2013-01-21,2.07871989996798
2013-01-22,2.16599032438177
2013-01-23,2.18651408220351
2013-01-24,2.27305174969469
2013-01-25,2.12936101635141
2013-01-26,2.11871822742009
2013-01-27,2.15611179282745
2013-01-28,2.21926199223926
2013-01-29,2.3292012372414
2013-01-30,2.31539760141251
2013-01-31,2.39867002234478
2013-02-01,2.39628795729842
2013-02-02,2.2992823539925
2013-02-03,2.31025812926902
2013-02-04,2.33369491855783
2013-02-05,2.31838062691914
2013-02-06,2.35660990820441
2013-02-07,2.39671893057309
2013-02-08,2.48978295289421
2013-02-09,2.53247302518909
2013-02-10,2.56955990911658
2013-02-11,2.58713999580982
2013-02-12,2.69059332540441
2013-02-13,2.73690126520233
2013-02-14,2.76282009017711
2013-02-15,2.83620601318809
2013-02-16,2.81225847215021
2013-02-17,2.7519166500562
2013-02-18,2.71440451524353
2013-02-19,2.80962095912827
2013-02-20,2.9397380759317
2013-02-21,2.92844692063137
2013-02-22,2.96950861991098
2013-02-23,2.81066853010595
2013-02-24,2.84604865715706
2013-02-25,2.82782880473795
2013-02-26,2.85815048026295
2013-02-27,2.86661487640565
2013-02-28,3.00008863407627
2013-03-01,3.03718126099818
2013-03-02,3.01105299968826
2013-03-03,2.99310981310362
2013-03-04,3.07213386973268
2013-03-05,3.34621885752888
2013-03-06,3.74655826442686
2013-03-07,3.34015712455887
2013-03-08,3.35310888121918
2013-03-09,3.4321037399054
2013-03-10,3.51885464212684
2013-03-11,3.53948158415999
2013-03-12,3.31358579033756
2013-03-13,3.37999601869566
2013-03-14,3.4245454258281
2013-03-15,3.37619340218569
2013-03-16,3.31529561595047
2013-03-17,3.30651832271541
2013-03-18,3.31037804709131
