t,indicators_hodled_lost_coins
2011-05-25,4605689.786355203
2011-05-26,4615591.8378397105
2011-05-27,4618807.56534748
2011-05-28,4623478.160864054
2011-05-29,4630681.941425191
2011-05-30,4636597.64564068
2011-05-31,4637448.1834216295
2011-06-01,4643782.374918138
2011-06-02,4641961.0208952725
2011-06-03,4617719.128584159
2011-06-04,4595489.368718701
2011-06-05,4594736.091067395
2011-06-06,4582618.438203425
2011-06-07,4569119.543271658
2011-06-08,4547267.419165796
2011-06-09,4507404.925334409
2011-06-10,4496455.189261867
2011-06-11,4461260.306343523
2011-06-12,4427991.866877792
2011-06-13,4408616.306300703
2011-06-14,4342860.813885017
2011-06-15,4256037.075620678
2011-06-16,4219601.853075365
2011-06-17,4177052.8752997345
2011-06-18,4176742.2071166993
2011-06-19,4170952.4579009935
2011-06-20,4146632.3325004335
2011-06-21,4156334.0943507934
2011-06-22,4168596.659082695
2011-06-23,4179037.429332004
2011-06-24,4186306.0255203727
2011-06-25,4192315.1142452504
2011-06-26,4197296.434225434
2011-06-27,4187532.5280178813
2011-06-28,4151788.0208786596
2011-06-29,4156420.8765847445
2011-06-30,4159590.1959961755
2011-07-01,4165783.2222601846
2011-07-02,4174776.0656002965
2011-07-03,4183818.3928790577
2011-07-04,4192093.016779053
2011-07-05,4192299.922475355
2011-07-06,4193078.4276980986
2011-07-07,4199384.7216381375
2011-07-08,4206150.932901092
2011-07-09,4214677.89934458
2011-07-10,4221752.124620389
2011-07-11,4216080.338930973
2011-07-12,4223048.112049459
2011-07-13,4232858.800217
2011-07-14,4241435.562365229
2011-07-15,4249966.634581395
2011-07-16,4259210.237555843
2011-07-17,4268917.708384072
2011-07-18,4261651.779062539
2011-07-19,4253824.783309888
2011-07-20,4253451.709000537
2011-07-21,4260015.707292707
2011-07-22,4269295.380286812
2011-07-23,4278098.262694938
2011-07-24,4287689.193414473
2011-07-25,4297129.958442599
2011-07-26,4306521.135200012
2011-07-27,4317097.616302213
2011-07-28,4325001.2265599435
2011-07-29,4332493.274279983
2011-07-30,4340531.313674647
2011-07-31,4348008.553379029
2011-08-01,4355010.640424058
2011-08-02,4362638.960457435
2011-08-03,4368218.766264775
2011-08-04,4372800.415546222
2011-08-05,4375363.625361615
