t,distribution_balance_exchanges
2014-01-12,317890.00885031995
2014-01-13,321216.34505119995
2014-01-14,320157.2330556
2014-01-15,318917.0284553
2014-01-16,318125.84049204
2014-01-17,319117.0675623599
2014-01-18,320405.96929518995
2014-01-19,318777.02278649004
2014-01-20,318340.33477626
2014-01-21,316240.19889403996
2014-01-22,316513.78682547994
2014-01-23,319712.39266531006
2014-01-24,324019.64302695
2014-01-25,324655.35522205
2014-01-26,324108.86182573007
2014-01-27,324582.9400868
2014-01-28,327742.15248609
2014-01-29,325287.0523815701
2014-01-30,326775.98227359005
2014-01-31,327822.65780237
2014-02-01,330355.7597458899
2014-02-02,328468.7370057701
2014-02-03,328446.16460843006
2014-02-04,329099.75335575006
2014-02-05,326870.89009132003
2014-02-06,327397.4924261101
2014-02-07,334606.9455400001
2014-02-08,334655.31600900006
2014-02-09,334178.07588062005
2014-02-10,336254.41452989
2014-02-11,344499.56420066004
2014-02-12,347717.96555783006
2014-02-13,354572.74396588997
2014-02-14,358945.91433363
2014-02-15,350106.8826522099
2014-02-16,346822.4780609499
2014-02-17,343767.23582822
2014-02-18,343731.85378247994
2014-02-19,343849.32225010986
2014-02-20,340904.35896882985
2014-02-21,339531.7239719499
2014-02-22,336909.91499974986
2014-02-23,336398.8690937099
2014-02-24,355428.02432191995
2014-02-25,390962.18284282996
2014-02-26,385088.1495621299
2014-02-27,382603.2409177899
2014-02-28,383624.0636590598
2014-03-01,383708.1127156299
2014-03-02,383613.1498695798
2014-03-03,381228.52936577983
2014-03-04,379285.95254411985
2014-03-05,380834.4453968798
2014-03-06,372290.0153239198
2014-03-07,372259.4880009799
2014-03-08,371684.2753928998
2014-03-09,367500.1062935597
2014-03-10,370501.9902007798
2014-03-11,370644.4325399699
2014-03-12,363407.88196885976
2014-03-13,363792.7145114797
2014-03-14,366973.82614884974
2014-03-15,367042.5774260197
2014-03-16,366507.7448464298
2014-03-17,368613.5582269698
2014-03-18,364482.4195005797
2014-03-19,353669.40087717975
2014-03-20,355161.95316502976
2014-03-21,356480.0502382598
2014-03-22,356384.3119704298
2014-03-23,354444.52018045983
2014-03-24,356102.87807756977
2014-03-25,356254.69381716993
2014-03-26,356300.2536721298
2014-03-27,361208.88026147976
2014-03-28,360622.6384567498
