t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2012-02-10,5462911973587826.0,5771095586140850.0,6252402333162226.0,5654202375122665.0,5489847179604132.0,5315966271464649.0,5856898389082345.0,5186815406746561.0
2012-02-11,5452520603366602.0,5793159164040091.0,6245718325444134.0,5676345456963945.0,5513439213983910.0,5332044417488571.0,5891219510258942.0,5195223306920476.0
2012-02-12,5442129233145377.0,5815222741939333.0,6239034317726043.0,5698488538805224.0,5537031248363686.0,5348122563512493.0,5925540631435540.0,5204154437967672.0
2012-02-13,5431737862924153.0,5837286319838574.0,6232350310007953.0,5720631620646504.0,5560623282743464.0,5364200709536416.0,5925540631435540.0,5213085569014869.0
2012-02-14,5421346492702929.0,5859349897737815.0,6225666302289862.0,5742774702487782.0,5584215317123241.0,5380278855560338.0,5925540631435540.0,5222016700062064.0
2012-02-15,5410955122481705.0,5881413475637056.0,6218982294571771.0,5764917784329062.0,5607807351503018.0,5396357001584260.0,5925540631435540.0,5230947831109260.0
2012-02-16,5400563752260481.0,5903477053536297.0,6212298286853681.0,5777273387952637.0,5631399385882795.0,5412435147608183.0,5925540631435540.0,5239878962156457.0
2012-02-17,5390172382039256.0,5925540631435538.0,6201364604367803.0,5789628991576212.0,5645238812033594.0,5428513293632106.0,5925540631435540.0,5248810093203652.0
2012-02-18,5379668766494182.0,5924514388474617.0,6190359084874662.0,5801409899141670.0,5658719053148070.0,5444351982965147.0,5923944253496329.0,5257581586456927.0
2012-02-19,5376585343728030.0,5923488145513695.0,6179353565381521.0,5813190806707130.0,5672199294262548.0,5460190672298188.0,5922347875557116.0,5266353079710202.0
2012-02-20,5373501920961878.0,5922461902552774.0,6168348045888380.0,5824971714272589.0,5685679535377024.0,5476029361631229.0,5920751497617906.0,5275124572963477.0
2012-02-21,5370418498195727.0,5921435659591853.0,6157342526395240.0,5836752621838048.0,5699159776491502.0,5491868050964271.0,5919155119678695.0,5283896066216753.0
2012-02-22,5367335075429574.0,5920409416630931.0,6146337006902099.0,5848533529403507.0,5712640017605978.0,5507706740297311.0,5917558741739484.0,5292667559470027.0
2012-02-23,5364251652663422.0,5919383173670009.0,6135331487408959.0,5860314436968965.0,5726120258720454.0,5523545429630352.0,5915962363800272.0,5301439052723302.0
2012-02-24,5361168229897270.0,5918356930709088.0,6124325967915818.0,5872095344534426.0,5739600499834931.0,5539033995859322.0,5914365985861061.0,5310210545976577.0
2012-02-25,5358084807131118.0,5917330687748167.0,6113320448422678.0,5883876252099884.0,5753080740949407.0,5554522562088291.0,5912769607921851.0,5318982039229852.0
2012-02-26,5355001384364967.0,5916304444787246.0,6102314928929537.0,5895657159665344.0,5766560982063885.0,5570011128317262.0,5911173229982640.0,5327753532483128.0
2012-02-27,5351917961598815.0,5915278201826325.0,6091309409436397.0,5907438067230802.0,5780041223178361.0,5585499694546230.0,5911173229982640.0,5341382255315662.0
2012-02-28,5348834538832663.0,5914251958865403.0,6080303889943256.0,5919218974796262.0,5793521464292838.0,5600988260775201.0,5911173229982640.0,5355010978148196.0
2012-02-29,5345751116066511.0,5913225715904482.0,6069298370450116.0,5918644278738147.0,5807001705407316.0,5616476827004171.0,5911173229982640.0,5368639700980730.0
2012-03-01,5342667693300359.0,5912199472943561.0,6058292850956975.0,5918069582680031.0,5820481946521794.0,5631965393233141.0,5911173229982640.0,5382268423813265.0
