t,volumes
2013-05-13,"{'BitMinter': 0.03812156, 'SlushPool': 3.18241845, 'other': 13.3791799331908}"
2013-05-14,"{'BitMinter': 0.06923122, 'SlushPool': 2.13172969, 'other': 413.410002321391}"
2013-05-15,"{'BitMinter': 2.83177439, 'SlushPool': 2.50362056, 'other': 56.7010714035027}"
2013-05-16,"{'BitMinter': 1.22521451, 'SlushPool': 2.283746, 'other': 8.20730959850592}"
2013-05-17,"{'BitMinter': 0.08931454, 'SlushPool': 1.12220037, 'other': 5.45688516103477}"
2013-05-18,"{'BitMinter': 0.03751266, 'SlushPool': 2.46793493, 'other': 17.4815887030881}"
2013-05-19,"{'BitMinter': 0.68820456, 'SlushPool': 3.39684231, 'other': 31.4329834876627}"
2013-05-20,"{'BitMinter': 0.04315362, 'SlushPool': 1.27987035, 'other': 23.2068898143793}"
2013-05-21,"{'BitMinter': 0.02460061, 'SlushPool': 2.5953525, 'other': 6.33798541185383}"
2013-05-22,"{'BitMinter': 0.08372279, 'SlushPool': 2.41865098, 'other': 6.42701685809416}"
2013-05-23,"{'BitMinter': 0.08148949, 'F2Pool': 1.787e-05, 'SlushPool': 4.2263714, 'other': 1.03132100292613}"
2013-05-24,"{'BitMinter': 0.20141774, 'SlushPool': 3.64345413, 'other': 36.3582040972864}"
2013-05-25,"{'BitMinter': 0.07757635, 'F2Pool': 0.00668618, 'SlushPool': 5.11069264, 'other': 3.00774992842272}"
2013-05-26,"{'BitMinter': 0.11437062, 'F2Pool': 0.01322996, 'SlushPool': 1.51386467, 'other': 25.378233144684}"
2013-05-27,"{'BitMinter': 0.14127642, 'F2Pool': 0.00170322, 'SlushPool': 9.02284169, 'other': 31.348360696186}"
